CPF,RG,Nome,Nascimento,Cidade
54209401008,77852856,Matheus Carvalho,14/09/2014,Londrina
96490359251,52317598,Ricardo Andrade,01/03/2023,Rio Branco
18437252217,43520573,Letícia Mendes,29/05/1962,Palmas
67473193192,51989212,Guilherme Souza,01/02/1960,Curitiba
18775376808,52457096,Letícia Costa,01/03/1965,Rio Branco
97016100453,19602583,Felipe Lopes,29/08/1978,São Luís
11504005654,01177523,Pedro Araújo,07/11/1996,Fortaleza
77356781872,45964157,Gabriel Bezerra,26/11/1954,Maceió
71755153947,99604641,Isabella Moreira,26/10/2025,Campo Grande
30870701603,51973458,Patrícia Bezerra,20/11/2020,Fortaleza
01609222819,63238574,André Tavares,02/04/2021,Manaus
08798768792,25591082,Vanessa Cardoso,08/12/2000,São José do Rio Preto
47596337438,66553436,Gabriel Mendes,30/04/2018,Belo Horizonte
27228863431,00963320,Pedro Vieira,27/08/1971,Campo Grande
18315331795,74249385,Carlos Campos,29/09/1963,São José dos Campos
57643073211,29968514,Rafael Nunes,10/09/1951,Uberlândia
58718156738,40958032,Patrícia Machado,12/08/1999,Joinville
06805072325,10280626,Matheus Vieira,22/08/2012,Londrina
30717709873,83899996,Tatiana Tavares,16/12/2006,João Pessoa
99727587405,85607849,Bruna Costa,30/01/2013,Palmas
40772832724,52356526,Daniel Ramos,06/08/1996,Fortaleza
48939698471,66452979,Rafael Medeiros,29/12/1977,Natal
62662858732,37644222,Pedro Ferreira,13/06/1950,Rio Branco
51160411586,89550736,Diego Gomes,21/04/2021,Florianópolis
42202033799,25101197,Fernando Barbosa,28/05/1999,São Luís
37275797300,30572051,Rodrigo Andrade,30/03/1978,Campo Grande
61560786496,94401723,Julia Pinto,21/10/1964,Porto Velho
07679714973,31654077,Lucas Rodrigues,29/06/1980,Natal
44151793619,40868824,Letícia Souza,24/11/1978,Porto Velho
81351431245,02193931,Carolina Moura,20/11/2005,Campinas
48989921306,38262439,Bruno Silva,08/08/2014,Macapá
05584527450,40227594,Alexandre Nascimento,19/02/1993,Curitiba
99108592781,55188578,Isabella Vieira,28/12/1972,Aracaju
96764807582,40100798,Aline Dantas,29/06/1956,Caxias do Sul
92954641317,85202804,Sofia Lima,31/10/1963,Natal
08099237932,35122968,Bruna Rocha,02/01/1962,Guarulhos
08816314836,34622582,Letícia Rodrigues,01/09/2023,São José dos Campos
44777930206,26772295,Rafael Pinto,24/06/2025,Teresina
17789080101,01157305,Vanessa Nascimento,09/09/2010,Caxias do Sul
14139800905,74728623,Beatriz Cavalcanti,31/05/2000,Sorocaba
83630787973,46226090,Rodrigo Cavalcanti,28/11/1954,Rio Branco
66239790575,07034142,Aline Santos,09/09/2024,Guarulhos
72040295864,75340600,Eduardo Moreira,13/10/1953,Juiz de Fora
86164859026,63720580,Maria Ribeiro,21/09/2023,Joinville
73199126585,70308483,Bruno Costa,14/06/2020,Fortaleza
61459589521,78842198,Amanda Souza,24/12/2005,Sorocaba
18480655861,41686194,Vanessa Moura,23/11/2013,Campinas
68850499673,23939006,Gabriel Monteiro,16/09/1973,Porto Alegre
89308074152,68977302,Laura Freitas,14/03/1973,Campo Grande
96429124752,09497225,Ricardo Ramos,23/11/2007,Macapá
06632354583,12313029,Rafael Moura,14/03/1999,Londrina
17674992761,19774809,Beatriz Nascimento,17/09/1974,Teresina
92220150012,02076364,Tatiana Bezerra,05/05/1961,Londrina
07791134419,48327404,Vanessa Santos,19/08/2014,Teresina
44273777797,79619129,João Alves,13/09/2018,Aracaju
36319116590,85293404,Aline Moura,14/11/2001,Feira de Santana
76362427005,87232748,Carolina Moreira,25/01/2000,Niterói
28530372067,75214271,João Ferreira,20/06/1971,Uberlândia
88903877482,88093832,Carlos Correia,03/03/2024,Campo Grande
62458437550,02793271,Gabriel Castro,13/07/2012,Manaus
83288349420,42046106,Fernanda Lima,24/08/2014,Feira de Santana
96966955480,53793850,André Silva,23/08/1993,Aracaju
36954114486,16703642,Felipe Barbosa,07/05/2021,Porto Velho
97805225042,28754010,Ricardo Rocha,14/09/1994,Campinas
62411971898,43919110,Patrícia Barbosa,29/07/1994,Feira de Santana
85523382493,51370906,Vanessa Marques,06/10/1958,Maceió
51798626899,13685786,João Castro,15/12/1991,Belo Horizonte
38200640903,55807979,Carolina Gomes,29/05/1954,Guarulhos
43025908330,69611420,Camila Nascimento,03/04/1987,Brasília
95714331106,30032685,Isabella Araújo,12/02/1963,São Paulo
29006545432,48644275,Laura Rodrigues,16/08/1963,Sorocaba
72757282108,37944583,Roberto Rocha,31/12/1994,Belo Horizonte
74094963980,83737820,Aline Araújo,11/12/1995,Campinas
47755992138,52768499,Larissa Lima,06/06/1968,Teresina
64064973849,83144023,Ana Machado,17/02/1970,Juiz de Fora
82766132628,49092091,Rodrigo Pires,18/03/2023,Porto Alegre
66171387666,61294097,Isabella Araújo,23/04/2013,Macapá
04881383998,29433429,Gustavo Monteiro,02/01/1999,Caxias do Sul
76084520830,99029105,Amanda Moraes,07/02/1994,Guarulhos
07812116167,49789424,Paulo Santos,20/12/2015,Joinville
80394857043,78606748,Amanda Barbosa,05/04/1981,Brasília
08484117721,20481488,Carlos Sousa,12/10/1973,Macapá
16868762774,68917862,Julia Fernandes,27/01/1966,Juiz de Fora
99776498932,84802595,Carolina Castro,09/04/1988,Maceió
87471282389,43186839,Renata Castro,01/02/2009,Cuiabá
91483392343,77327977,Amanda Vieira,30/05/2013,Boa Vista
67933054297,75614706,Leonardo Melo,10/11/1965,Guarulhos
34443615404,33980795,Laura Melo,20/03/1950,São Luís
01319853936,16542378,Luciano Reis,01/11/1984,Niterói
53354889736,56141672,Fernanda Gomes,27/07/1965,Salvador
50795370857,39966372,Thiago Campos,01/08/1977,Juiz de Fora
10673914796,85167358,Bruno Correia,18/09/2005,Teresina
41817546788,29101020,Carolina Araújo,31/08/1993,Juiz de Fora
20061124970,08082297,Guilherme Cardoso,05/02/1970,Goiânia
15168719089,76984947,Renata Dias,22/02/1992,São José dos Campos
37594887626,02596082,Leonardo Vieira,16/01/1994,São Paulo
56096237447,63454699,Tatiana Marques,18/01/1986,Aracaju
02272783625,32701142,Laura Costa,20/11/1975,Ribeirão Preto
53302330346,31417587,Letícia Mendes,28/11/2009,Rio Branco
44423437667,78719407,Mariana Mendes,22/03/2024,Cuiabá
87846309345,49494587,Bruno Carvalho,11/04/2009,Curitiba
86801868542,58250819,Juliana Correia,28/10/1960,Campinas
88426828490,17789731,Bruno Araújo,20/11/2006,Joinville
93341280084,14622058,Diego Cavalcanti,05/07/1972,Macapá
14801072734,78460926,Fernanda Rodrigues,02/07/1983,Belém
51291862217,64335572,Carolina Rocha,01/10/1964,Recife
03000440334,82298122,Patrícia Ramos,22/07/1961,Niterói
09669688136,53234564,Bruno Almeida,01/02/1961,Fortaleza
06587106645,74378267,Carlos Cavalcanti,09/12/2000,Rio Branco
81161396593,24089452,Natália Costa,22/04/2023,São José dos Campos
10044465596,38795965,Tatiana Moura,21/04/1952,Florianópolis
46398270144,70243597,Juliana Dantas,19/01/1987,João Pessoa
45360562718,74431121,Fernando Mendes,24/05/2006,Natal
69074211409,80379328,Beatriz Mendes,30/01/1996,Palmas
02419840618,80785011,Leonardo Souza,23/05/1971,Belém
34340816659,42982585,Claudia Moreira,13/11/1961,Joinville
24500189309,55739683,Claudia Castro,21/11/1951,Manaus
18084934679,69506243,Ricardo Cardoso,08/09/1950,Florianópolis
57387856148,50403422,Tatiana Souza,16/10/1968,Aracaju
83353871686,44183841,Guilherme Mendes,10/05/2018,Rio Branco
50040751318,51498632,Maria Fernandes,29/03/1992,Brasília
47673597552,09311877,Aline Pinto,11/09/1983,Brasília
82280050642,45928045,Cristina Rocha,02/09/1970,Joinville
96069684154,72053110,Matheus Dias,05/11/1993,São Luís
96841655383,68368724,Gabriel Pires,20/03/1979,São Paulo
28180184505,94691933,Lucas Bezerra,07/07/1953,Recife
42998872529,09950597,Ricardo Oliveira,27/07/1975,São Luís
12081439540,08252228,Tatiana Pinto,12/05/2012,Salvador
59415749547,41057965,Amanda Teixeira,13/08/2017,Rio Branco
93572606008,72317955,Ricardo Cardoso,27/07/1960,Goiânia
43307496864,34100369,Cristina Bezerra,15/04/2006,Niterói
43955999741,13748642,Luciano Lima,23/06/1963,Boa Vista
88616506466,31542646,Camila Medeiros,07/05/2001,Aracaju
89090273957,26560755,Carlos Nunes,04/09/1987,Aracaju
54187588080,39004653,Bruno Castro,25/04/1951,Campinas
38352168152,55122789,Tatiana Martins,21/03/2017,Natal
60366979414,09774103,Gabriel Cardoso,22/01/2010,Guarulhos
77807562244,30120169,Ricardo Machado,19/11/1994,Florianópolis
12108183872,09982196,Amanda Silva,15/02/2008,Ribeirão Preto
07452062337,40006221,Fernanda Sousa,11/12/1979,Feira de Santana
14399403497,76357327,Patrícia Ferreira,05/04/1958,Brasília
97075454232,60683489,Thiago Tavares,16/11/2019,Uberlândia
66609674571,79074408,Pedro Castro,14/09/1981,São José do Rio Preto
77575481521,95308041,Alexandre Rodrigues,05/12/2002,Caxias do Sul
04956004717,74694790,Bruno Cardoso,01/05/1961,Guarulhos
19629300941,01862862,Marcos Costa,10/04/1981,Porto Alegre
30427336802,00238126,Ana Machado,05/07/2016,São José do Rio Preto
48312076023,53471349,Amanda Moreira,08/10/2007,Boa Vista
09469459515,71443295,Paulo Teixeira,21/03/1982,Porto Velho
66872970279,29974849,Claudia Medeiros,09/05/2007,Belém
75630530964,42277274,Paulo Gonçalves,05/01/2016,São José do Rio Preto
43026316414,54683798,Gabriel Dantas,21/04/1993,Uberlândia
42901710053,50648241,Diego Ribeiro,18/08/1984,Goiânia
63121491031,30347176,João Lima,27/11/2003,Niterói
